city,micro_market,market_category,property_type,date,avg_price_sqft,avg_property_price,annual_rent,rental_yield_pct,yoy_price_growth,price_volatility,infra_score,infra_momentum,transaction_count,liquidity_score,zone_type,dominant_buyer,risk_category
Mumbai,Ambernath,mid,1BHK,2015-01-01,8064.41,3628984.5,203202.0,5.5994176883367786,0.0,694.5817986101795,0.555,0.0,80,0.4201680636960667,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2015-02-01,8134.6,3660570.0,204984.0,5.599783640252747,0.0,694.5817986101795,0.559,0.0,114,0.705882347009392,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2015-03-01,8139.27,3662671.5,205092.0,5.599519367215978,0.0,694.5817986101795,0.546,0.0,69,0.327731089682932,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2015-04-01,8130.27,3658621.5,204876.0,5.599814028316403,0.0,694.5817986101795,0.556,0.0,120,0.7563025146529201,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2015-05-01,8163.03,3673363.5,205686.0,5.599391402457176,0.0,694.5817986101795,0.537,0.0,75,0.37815125732646004,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2015-06-01,8226.56,3701952.0,207306.0,5.599910533686012,0.0,694.5817986101795,0.547,0.0,92,0.5210083989831227,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2015-07-01,8248.96,3712031.9999999995,207900.0,5.600706028396308,0.0,694.5817986101795,0.541,0.0,79,0.41176470242214536,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2015-08-01,8278.54,3725343.0000000005,208602.0,5.599538082802039,0.0,694.5817986101795,0.563,0.0,59,0.24369747694371868,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2015-09-01,8353.63,3759133.4999999995,210492.0,5.599481901879782,0.0,694.5817986101795,0.565,0.0,33,0.025210083821764002,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2015-10-01,8366.37,3764866.5000000005,210816.0,5.599561099975257,0.0,694.5817986101795,0.543,0.0,55,0.21008403184803334,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2015-11-01,8398.02,3779109.0,211626.0,5.599891402973558,0.0,694.5817986101795,0.561,0.0,137,0.8991596563095827,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2015-12-01,8455.52,3804984.0,213084.0,5.600128673340019,0.0,124.89149114573807,0.564,0.0,125,0.7983193210225268,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2016-01-01,8439.28,3797676.0000000005,212652.0,5.599529817709567,4.648449173591129,122.02821567348442,0.636,14.594594594594579,137,0.8991596563095827,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2016-02-01,8453.48,3804066.0,213030.0,5.600060566772501,3.920045238856229,122.7189477448607,0.607,8.586762075134157,139,0.9159663788574254,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2016-03-01,8515.62,3832029.0000000005,214596.0,5.60006200370613,4.623879045663815,124.75207481118953,0.621,13.736263736263732,103,0.6134453729962573,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2016-04-01,8577.16,3859722.0,216162.0,5.600455162314799,5.496619423463178,124.53083907635107,0.626,12.589928057553944,99,0.579831927900572,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2016-05-01,8602.15,3870967.5,216756.0,5.599530349970647,5.3793750604861135,121.70315750927121,0.677,26.070763500931093,88,0.48739495388743737,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2016-06-01,8638.6,3887370.0,217674.0,5.599518440488041,5.008654893418396,123.47666017645763,0.602,10.054844606946967,83,0.4453781475178307,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2016-07-01,8682.78,3907251.0000000005,218808.0,5.600049753650328,5.259087206144786,124.70027910286434,0.597,10.351201478743066,115,0.7142857082833134,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2016-08-01,8732.4,3929580.0,220050.0,5.599835096880583,5.48236766386343,126.82079433199766,0.62,10.124333925399664,109,0.6638655406397854,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2016-09-01,8782.16,3951972.0,221292.0,5.5995335999344125,5.129865699103275,136.33154952896396,0.626,10.796460176991163,76,0.38655461860038137,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2016-10-01,8820.53,3969238.5000000005,222264.0,5.599663512283275,5.428399652417948,142.5200398986956,0.578,6.44567219152854,53,0.19327730930019069,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2016-11-01,8843.81,3979714.5,222858.0,5.599848933887092,5.308275045784594,145.57689867047407,0.622,10.873440285204982,144,0.9579831852270321,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2016-12-01,8867.84,3990528.0,223452.0,5.599559757505774,4.876341135731455,149.60882779363703,0.607,7.624113475177308,95,0.5462184828048867,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2017-01-01,8910.35,4009657.5,224532.0,5.599780031087443,5.581874283114185,147.36006329580528,0.664,4.402515723270439,146,0.9747899077748747,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2017-02-01,8939.18,4022631.0,225288.0,5.600513693649753,5.745562774147461,139.30515532455456,0.669,10.214168039538718,122,0.7731092372007627,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2017-03-01,8986.9,4044105.0,226476.0,5.600151331382346,5.534300497203937,135.85106415973183,0.714,14.975845410628018,53,0.19327730930019069,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2017-04-01,8992.88,4046795.9999999995,226638.0,5.600430562845274,4.846825755844586,131.81576342712918,0.669,6.869009584664543,42,0.10084033528705601,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2017-05-01,9074.9,4083705.0,228690.0,5.6000617086689655,5.495719093482454,132.52962510149743,0.689,1.7725258493352936,63,0.277310922039404,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2017-06-01,9027.18,4062231.0,227502.0,5.6004200647378255,4.4981825758803495,121.59571960605018,0.672,11.627906976744207,48,0.15126050293058402,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2017-07-01,9056.07,4075231.5,228204.0,5.5997800370359325,4.299199104434281,111.54102036578523,0.665,11.390284757118941,119,0.7478991533789987,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2017-08-01,9127.79,4107505.5000000005,230040.0,5.600479415061038,4.527850304612713,109.6244642950094,0.699,12.74193548387097,40,0.08403361273921334,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2017-09-01,9229.7,4153365.0000000005,232578.0,5.599748637550515,5.096012826001806,121.86298449549632,0.655,4.63258785942493,86,0.4705882313395947,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2017-10-01,9268.86,4170987.0000000005,233550.0,5.599394100245337,5.082801146869853,133.43835633888168,0.68,17.647058823529438,57,0.22689075439587603,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2017-11-01,9303.62,4186629.0000000005,234468.0,5.600400704242004,5.1992297437416735,141.7722680574366,0.656,5.4662379421221985,51,0.176470586752348,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2017-12-01,9348.43,4206793.5,235602.0,5.600512599441831,5.419470806870663,148.5947166461503,0.753,24.052718286655693,149,0.9999999915966388,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2018-01-01,9423.68,4240656.0,237492.0,5.600359944310503,5.761053157283391,160.70647480638482,0.795,19.728915662650603,67,0.31092436713508936,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2018-02-01,9487.17,4269226.5,239058.0,5.5995623563191135,6.1302043364156455,173.25939826709862,0.767,14.648729446935715,143,0.9495798239531107,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2018-03-01,9496.4,4273380.0,239328.0,5.6004380607388065,5.6693631841903125,180.20177347527616,0.787,10.22408963585435,80,0.4201680636960667,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2018-04-01,9499.67,4274851.5,239382.0,5.599773465815129,5.635458273656502,177.3070527297933,0.756,13.004484304932728,101,0.5966386504484147,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2018-05-01,9532.69,4289710.5,240246.0,5.600517797180019,5.044573493922799,178.73261669235265,0.761,10.449927431059525,59,0.24369747694371868,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2018-06-01,9516.24,4282308.0,239814.0,5.600110968197523,5.4176387310322704,161.6369313297415,0.813,20.98214285714284,135,0.8823529337617401,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2018-07-01,9535.22,4290849.0,240300.0,5.600290292200914,5.290926417309039,137.82670670468525,0.808,21.503759398496246,80,0.4201680636960667,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2018-08-01,9562.94,4303323.0,241002.0,5.600369760763949,4.767309502080996,115.93255592904578,0.758,8.44062947067239,136,0.8907562950356614,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2018-09-01,9663.44,4348548.0,243540.0,5.600490094624688,4.699394346511809,114.1430379618071,0.828,26.412213740458014,96,0.554621844078808,Mixed,End-user,Low
Mumbai,Ambernath,mid,1BHK,2018-10-01,9734.52,4380534.0,245322.0,5.60027613071831,5.023918799075622,118.66141257094705,0.754,10.882352941176453,106,0.6386554568180214,Mixed,End-user,Low
