city,micro_market,date,market_category,metro_distance_km,it_park_distance_km,school_count_2km,hospital_count_2km,mall_count_3km,infra_score
Mumbai,Bandra West,2015-01-01,prime,0.53,1.1,7,6,4,1.098
Mumbai,Bandra West,2015-02-01,prime,0.59,1.15,7,6,4,1.035
Mumbai,Bandra West,2015-03-01,prime,0.6,1.2,7,6,4,1.019
Mumbai,Bandra West,2015-04-01,prime,0.57,1.05,7,6,4,1.071
Mumbai,Bandra West,2015-05-01,prime,0.58,0.96,7,6,4,1.085
Mumbai,Bandra West,2015-06-01,prime,0.48,1.05,7,6,4,1.17
Mumbai,Bandra West,2015-07-01,prime,0.5,1.07,7,6,4,1.142
Mumbai,Bandra West,2015-08-01,prime,0.64,1.02,7,6,4,1.025
Mumbai,Bandra West,2015-09-01,prime,0.6,1.07,7,6,4,1.044
Mumbai,Bandra West,2015-10-01,prime,0.63,1.02,7,6,4,1.034
Mumbai,Bandra West,2015-11-01,prime,0.52,0.85,7,6,4,1.18
Mumbai,Bandra West,2015-12-01,prime,0.56,0.86,7,6,4,1.132
Mumbai,Bandra West,2016-01-01,prime,0.43,0.8,7,6,4,1.315
Mumbai,Bandra West,2016-02-01,prime,0.4,0.85,7,6,4,1.346
Mumbai,Bandra West,2016-03-01,prime,0.44,0.71,7,6,4,1.346
Mumbai,Bandra West,2016-04-01,prime,0.41,0.91,7,6,4,1.32
Mumbai,Bandra West,2016-05-01,prime,0.35,0.75,7,6,4,1.51
Mumbai,Bandra West,2016-06-01,prime,0.44,0.72,7,6,4,1.34
Mumbai,Bandra West,2016-07-01,prime,0.39,0.89,7,6,4,1.352
Mumbai,Bandra West,2016-08-01,prime,0.53,0.74,7,6,4,1.21
Mumbai,Bandra West,2016-09-01,prime,0.43,0.83,7,6,4,1.304
Mumbai,Bandra West,2016-10-01,prime,0.38,0.78,7,6,4,1.419
Mumbai,Bandra West,2016-11-01,prime,0.51,1.01,7,6,4,1.148
Mumbai,Bandra West,2016-12-01,prime,0.37,0.69,7,6,4,1.489
Mumbai,Bandra West,2017-01-01,prime,0.26,0.5,7,6,4,1.968
Mumbai,Bandra West,2017-02-01,prime,0.33,0.53,7,6,4,1.678
Mumbai,Bandra West,2017-03-01,prime,0.33,0.55,7,6,4,1.671
Mumbai,Bandra West,2017-04-01,prime,0.28,0.57,7,6,4,1.839
Mumbai,Bandra West,2017-05-01,prime,0.2,0.5,7,6,4,2.31
Mumbai,Bandra West,2017-06-01,prime,0.27,0.5,7,6,4,1.937
