city,micro_market,property_type,avg_price_sqft,avg_rent_sqft,avg_unit_size_sqft,transaction_count,date,avg_property_price,annual_rent,rental_yield_pct,yoy_price_growth
Mumbai,Ambernath,1BHK,8064.41,37.63,450,80,2015-01-01,3628984.5,203202.0,5.5994176883367786,
Mumbai,Ambernath,1BHK,8134.6,37.96,450,114,2015-02-01,3660570.0,204984.0,5.599783640252747,
Mumbai,Ambernath,1BHK,8139.27,37.98,450,69,2015-03-01,3662671.5,205092.0,5.599519367215978,
Mumbai,Ambernath,1BHK,8130.27,37.94,450,120,2015-04-01,3658621.5,204876.0,5.599814028316403,
Mumbai,Ambernath,1BHK,8163.03,38.09,450,75,2015-05-01,3673363.5,205686.0,5.599391402457176,
Mumbai,Ambernath,1BHK,8226.56,38.39,450,92,2015-06-01,3701952.0,207306.0,5.599910533686012,
Mumbai,Ambernath,1BHK,8248.96,38.5,450,79,2015-07-01,3712031.9999999995,207900.0,5.600706028396308,
Mumbai,Ambernath,1BHK,8278.54,38.63,450,59,2015-08-01,3725343.0000000005,208602.0,5.599538082802039,
Mumbai,Ambernath,1BHK,8353.63,38.98,450,33,2015-09-01,3759133.4999999995,210492.0,5.599481901879782,
Mumbai,Ambernath,1BHK,8366.37,39.04,450,55,2015-10-01,3764866.5000000005,210816.0,5.599561099975257,
Mumbai,Ambernath,1BHK,8398.02,39.19,450,137,2015-11-01,3779109.0,211626.0,5.599891402973558,
Mumbai,Ambernath,1BHK,8455.52,39.46,450,125,2015-12-01,3804984.0,213084.0,5.600128673340019,
Mumbai,Ambernath,1BHK,8439.28,39.38,450,137,2016-01-01,3797676.0000000005,212652.0,5.599529817709567,0.04648449173591129
Mumbai,Ambernath,1BHK,8453.48,39.45,450,139,2016-02-01,3804066.0,213030.0,5.600060566772501,0.03920045238856229
Mumbai,Ambernath,1BHK,8515.62,39.74,450,103,2016-03-01,3832029.0000000005,214596.0,5.60006200370613,0.046238790456638146
Mumbai,Ambernath,1BHK,8577.16,40.03,450,99,2016-04-01,3859722.0,216162.0,5.600455162314799,0.05496619423463178
Mumbai,Ambernath,1BHK,8602.15,40.14,450,88,2016-05-01,3870967.5,216756.0,5.599530349970647,0.053793750604861135
Mumbai,Ambernath,1BHK,8638.6,40.31,450,83,2016-06-01,3887370.0,217674.0,5.599518440488041,0.05008654893418396
Mumbai,Ambernath,1BHK,8682.78,40.52,450,115,2016-07-01,3907251.0000000005,218808.0,5.600049753650328,0.05259087206144786
Mumbai,Ambernath,1BHK,8732.4,40.75,450,109,2016-08-01,3929580.0,220050.0,5.599835096880583,0.0548236766386343
Mumbai,Ambernath,1BHK,8782.16,40.98,450,76,2016-09-01,3951972.0,221292.0,5.5995335999344125,0.051298656991032754
Mumbai,Ambernath,1BHK,8820.53,41.16,450,53,2016-10-01,3969238.5000000005,222264.0,5.599663512283275,0.05428399652417948
Mumbai,Ambernath,1BHK,8843.81,41.27,450,144,2016-11-01,3979714.5,222858.0,5.599848933887092,0.05308275045784594
Mumbai,Ambernath,1BHK,8867.84,41.38,450,95,2016-12-01,3990528.0,223452.0,5.599559757505774,0.048763411357314546
Mumbai,Ambernath,1BHK,8910.35,41.58,450,146,2017-01-01,4009657.5,224532.0,5.599780031087443,0.055818742831141854
Mumbai,Ambernath,1BHK,8939.18,41.72,450,122,2017-02-01,4022631.0,225288.0,5.600513693649753,0.05745562774147461
Mumbai,Ambernath,1BHK,8986.9,41.94,450,53,2017-03-01,4044105.0,226476.0,5.600151331382346,0.05534300497203937
Mumbai,Ambernath,1BHK,8992.88,41.97,450,42,2017-04-01,4046795.9999999995,226638.0,5.600430562845274,0.04846825755844586
Mumbai,Ambernath,1BHK,9074.9,42.35,450,63,2017-05-01,4083705.0,228690.0,5.6000617086689655,0.05495719093482454
Mumbai,Ambernath,1BHK,9027.18,42.13,450,48,2017-06-01,4062231.0,227502.0,5.6004200647378255,0.044981825758803495
Mumbai,Ambernath,1BHK,9056.07,42.26,450,119,2017-07-01,4075231.5,228204.0,5.5997800370359325,0.042991991044342814
Mumbai,Ambernath,1BHK,9127.79,42.6,450,40,2017-08-01,4107505.5000000005,230040.0,5.600479415061038,0.04527850304612713
Mumbai,Ambernath,1BHK,9229.7,43.07,450,86,2017-09-01,4153365.0000000005,232578.0,5.599748637550515,0.050960128260018056
Mumbai,Ambernath,1BHK,9268.86,43.25,450,57,2017-10-01,4170987.0000000005,233550.0,5.599394100245337,0.05082801146869853
Mumbai,Ambernath,1BHK,9303.62,43.42,450,51,2017-11-01,4186629.0000000005,234468.0,5.600400704242004,0.051992297437416735
Mumbai,Ambernath,1BHK,9348.43,43.63,450,149,2017-12-01,4206793.5,235602.0,5.600512599441831,0.05419470806870663
Mumbai,Ambernath,1BHK,9423.68,43.98,450,67,2018-01-01,4240656.0,237492.0,5.600359944310503,0.05761053157283391
Mumbai,Ambernath,1BHK,9487.17,44.27,450,143,2018-02-01,4269226.5,239058.0,5.5995623563191135,0.061302043364156455
Mumbai,Ambernath,1BHK,9496.4,44.32,450,80,2018-03-01,4273380.0,239328.0,5.6004380607388065,0.056693631841903125
Mumbai,Ambernath,1BHK,9499.67,44.33,450,101,2018-04-01,4274851.5,239382.0,5.599773465815129,0.05635458273656502
Mumbai,Ambernath,1BHK,9532.69,44.49,450,59,2018-05-01,4289710.5,240246.0,5.600517797180019,0.05044573493922799
Mumbai,Ambernath,1BHK,9516.24,44.41,450,135,2018-06-01,4282308.0,239814.0,5.600110968197523,0.054176387310322704
Mumbai,Ambernath,1BHK,9535.22,44.5,450,80,2018-07-01,4290849.0,240300.0,5.600290292200914,0.05290926417309039
Mumbai,Ambernath,1BHK,9562.94,44.63,450,136,2018-08-01,4303323.0,241002.0,5.600369760763949,0.047673095020809964
Mumbai,Ambernath,1BHK,9663.44,45.1,450,96,2018-09-01,4348548.0,243540.0,5.600490094624688,0.04699394346511809
Mumbai,Ambernath,1BHK,9734.52,45.43,450,106,2018-10-01,4380534.0,245322.0,5.60027613071831,0.05023918799075622
Mumbai,Ambernath,1BHK,9717.47,45.35,450,41,2018-11-01,4372861.5,244890.0,5.600223103338626,0.044482685234349395
Mumbai,Ambernath,1BHK,9753.71,45.52,450,49,2018-12-01,4389169.5,245808.0,5.60033054089162,0.04335273409545759
Mumbai,Ambernath,1BHK,9798.11,45.72,450,140,2019-01-01,4409149.5,246888.0,5.599447240335126,0.03973288566674582
Mumbai,Ambernath,1BHK,9839.32,45.92,450,31,2019-02-01,4427694.0,247968.0,5.600387018615108,0.03711855063206415
Mumbai,Ambernath,1BHK,9890.2,46.15,450,123,2019-03-01,4450590.0,249210.0,5.599482315827789,0.04146834589949888
Mumbai,Ambernath,1BHK,9914.92,46.27,450,139,2019-04-01,4461714.0,249858.0,5.600045184429122,0.04371204473418544
Mumbai,Ambernath,1BHK,9961.34,46.49,450,147,2019-05-01,4482603.0,251046.0,5.600451344899382,0.04496632115384003
Mumbai,Ambernath,1BHK,9967.23,46.51,450,39,2019-06-01,4485253.5,251154.0,5.599549724447013,0.047391616857078045
Mumbai,Ambernath,1BHK,10043.0,46.87,450,148,2019-07-01,4519350.0,253098.0,5.600318629891467,0.05325309746392848
Mumbai,Ambernath,1BHK,10108.24,47.17,450,123,2019-08-01,4548708.0,254718.0,5.599787895815691,0.05702221283412823
Mumbai,Ambernath,1BHK,10188.02,47.54,450,140,2019-09-01,4584609.0,256716.0,5.599517865100383,0.05428501651585771
Mumbai,Ambernath,1BHK,10232.35,47.75,450,107,2019-10-01,4604557.5,257850.0,5.59988663405767,0.05114068284825546
Mumbai,Ambernath,1BHK,10279.51,47.97,450,131,2019-11-01,4625779.5,259038.0,5.599877815187689,0.05783809983462773
Mumbai,Ambernath,1BHK,10276.39,47.96,450,127,2019-12-01,4624375.5,258984.0,5.600410260801702,0.0535878142778492
Mumbai,Ambernath,1BHK,10319.6,48.16,450,111,2020-01-01,4643820.0,260064.0,5.600217062676848,0.0532235298440209
Mumbai,Ambernath,1BHK,10343.93,48.27,450,73,2020-02-01,4654768.5,260658.0,5.599805876489883,0.05128504815373436
Mumbai,Ambernath,1BHK,10391.63,48.49,450,52,2020-03-01,4676233.5,261846.0,5.599506525925191,0.050699682514003586
Mumbai,Ambernath,1BHK,10469.56,48.86,450,90,2020-04-01,4711302.0,263844.0,5.600235348954493,0.055939936983858685
Mumbai,Ambernath,1BHK,10506.53,49.03,450,68,2020-05-01,4727938.5,264762.0,5.599945938383081,0.05473058845496692
Mumbai,Ambernath,1BHK,10521.33,49.1,450,88,2020-06-01,4734598.5,265140.0,5.600052464849976,0.055592175559307844
Mumbai,Ambernath,1BHK,10598.4,49.46,450,71,2020-07-01,4769280.0,267084.0,5.6000905797101455,0.05530220053768797
Mumbai,Ambernath,1BHK,10705.97,49.96,450,118,2020-08-01,4817686.5,269784.0,5.599866242853286,0.059132945003284476
Mumbai,Ambernath,1BHK,10779.96,50.31,450,45,2020-09-01,4850982.0,271674.0,5.600391838188639,0.058101574201856465
