city,micro_market,property_type,avg_price_sqft,avg_rent_sqft,avg_unit_size_sqft,transaction_count,date
Mumbai,Bandra West,1BHK,35372.99,82.54,450,136,2015-01-01
Mumbai,Bandra West,1BHK,35682.57,83.26,450,101,2015-02-01
Mumbai,Bandra West,1BHK,35890.63,83.74,450,112,2015-03-01
Mumbai,Bandra West,1BHK,36253.97,84.59,450,116,2015-04-01
Mumbai,Bandra West,1BHK,36758.05,85.77,450,51,2015-05-01
Mumbai,Bandra West,1BHK,37179.63,86.75,450,82,2015-06-01
Mumbai,Bandra West,1BHK,37455.65,87.4,450,50,2015-07-01
Mumbai,Bandra West,1BHK,37739.99,88.06,450,62,2015-08-01
Mumbai,Bandra West,1BHK,38113.33,88.93,450,137,2015-09-01
Mumbai,Bandra West,1BHK,38243.94,89.24,450,118,2015-10-01
Mumbai,Bandra West,1BHK,38688.18,90.27,450,71,2015-11-01
Mumbai,Bandra West,1BHK,38865.95,90.69,450,121,2015-12-01
Mumbai,Bandra West,1BHK,39248.12,91.58,450,137,2016-01-01
Mumbai,Bandra West,1BHK,39517.47,92.21,450,84,2016-02-01
Mumbai,Bandra West,1BHK,39876.81,93.05,450,130,2016-03-01
Mumbai,Bandra West,1BHK,40284.89,94.0,450,80,2016-04-01
Mumbai,Bandra West,1BHK,40590.7,94.71,450,47,2016-05-01
Mumbai,Bandra West,1BHK,41195.7,96.12,450,33,2016-06-01
Mumbai,Bandra West,1BHK,41585.09,97.03,450,38,2016-07-01
Mumbai,Bandra West,1BHK,42049.2,98.11,450,119,2016-08-01
Mumbai,Bandra West,1BHK,42471.37,99.1,450,140,2016-09-01
Mumbai,Bandra West,1BHK,42779.71,99.82,450,89,2016-10-01
Mumbai,Bandra West,1BHK,43170.12,100.73,450,76,2016-11-01
Mumbai,Bandra West,1BHK,43428.87,101.33,450,64,2016-12-01
Mumbai,Bandra West,1BHK,43797.07,102.19,450,133,2017-01-01
Mumbai,Bandra West,1BHK,44249.7,103.25,450,33,2017-02-01
Mumbai,Bandra West,1BHK,44683.05,104.26,450,135,2017-03-01
Mumbai,Bandra West,1BHK,44829.95,104.6,450,33,2017-04-01
Mumbai,Bandra West,1BHK,45270.3,105.63,450,77,2017-05-01
Mumbai,Bandra West,1BHK,45805.03,106.88,450,44,2017-06-01
Mumbai,Bandra West,1BHK,46209.01,107.82,450,109,2017-07-01
Mumbai,Bandra West,1BHK,46590.86,108.71,450,138,2017-08-01
Mumbai,Bandra West,1BHK,47126.08,109.96,450,55,2017-09-01
Mumbai,Bandra West,1BHK,47481.99,110.79,450,118,2017-10-01
Mumbai,Bandra West,1BHK,47966.19,111.92,450,70,2017-11-01
Mumbai,Bandra West,1BHK,48152.18,112.36,450,58,2017-12-01
Mumbai,Bandra West,1BHK,48677.66,113.58,450,64,2018-01-01
Mumbai,Bandra West,1BHK,49253.52,114.92,450,64,2018-02-01
Mumbai,Bandra West,1BHK,49581.0,115.69,450,36,2018-03-01
Mumbai,Bandra West,1BHK,49989.5,116.64,450,102,2018-04-01
Mumbai,Bandra West,1BHK,50221.57,117.18,450,77,2018-05-01
Mumbai,Bandra West,1BHK,50847.61,118.64,450,148,2018-06-01
Mumbai,Bandra West,1BHK,51144.95,119.34,450,128,2018-07-01
Mumbai,Bandra West,1BHK,51430.24,120.0,450,73,2018-08-01
Mumbai,Bandra West,1BHK,52030.48,121.4,450,94,2018-09-01
Mumbai,Bandra West,1BHK,52553.72,122.63,450,128,2018-10-01
Mumbai,Bandra West,1BHK,53092.48,123.88,450,30,2018-11-01
Mumbai,Bandra West,1BHK,53476.4,124.78,450,34,2018-12-01
Mumbai,Bandra West,1BHK,54206.52,126.48,450,132,2019-01-01
Mumbai,Bandra West,1BHK,54758.4,127.77,450,56,2019-02-01
Mumbai,Bandra West,1BHK,54830.0,127.94,450,71,2019-03-01
Mumbai,Bandra West,1BHK,55467.8,129.42,450,106,2019-04-01
Mumbai,Bandra West,1BHK,56001.3,130.67,450,142,2019-05-01
Mumbai,Bandra West,1BHK,56495.59,131.82,450,81,2019-06-01
Mumbai,Bandra West,1BHK,57317.57,133.74,450,130,2019-07-01
Mumbai,Bandra West,1BHK,57942.83,135.2,450,52,2019-08-01
Mumbai,Bandra West,1BHK,58625.68,136.79,450,58,2019-09-01
Mumbai,Bandra West,1BHK,59565.35,138.99,450,65,2019-10-01
Mumbai,Bandra West,1BHK,60135.62,140.32,450,144,2019-11-01
Mumbai,Bandra West,1BHK,60796.57,141.86,450,115,2019-12-01
Mumbai,Bandra West,1BHK,61407.32,143.28,450,91,2020-01-01
Mumbai,Bandra West,1BHK,62135.4,144.98,450,86,2020-02-01
Mumbai,Bandra West,1BHK,62685.36,146.27,450,137,2020-03-01
Mumbai,Bandra West,1BHK,63080.31,147.19,450,73,2020-04-01
Mumbai,Bandra West,1BHK,63840.72,148.96,450,148,2020-05-01
Mumbai,Bandra West,1BHK,64385.77,150.23,450,121,2020-06-01
Mumbai,Bandra West,1BHK,65115.83,151.94,450,30,2020-07-01
Mumbai,Bandra West,1BHK,65662.76,153.21,450,56,2020-08-01
Mumbai,Bandra West,1BHK,66515.58,155.2,450,134,2020-09-01
Mumbai,Bandra West,1BHK,67067.05,156.49,450,32,2020-10-01
Mumbai,Bandra West,1BHK,67682.86,157.93,450,38,2020-11-01
Mumbai,Bandra West,1BHK,68255.65,159.26,450,91,2020-12-01
Mumbai,Bandra West,1BHK,68800.34,160.53,450,73,2021-01-01
Mumbai,Bandra West,1BHK,69371.33,161.87,450,53,2021-02-01
Mumbai,Bandra West,1BHK,69973.67,163.27,450,125,2021-03-01
Mumbai,Bandra West,1BHK,70699.92,164.97,450,117,2021-04-01
Mumbai,Bandra West,1BHK,71147.98,166.01,450,142,2021-05-01
Mumbai,Bandra West,1BHK,72099.83,168.23,450,87,2021-06-01
Mumbai,Bandra West,1BHK,72345.72,168.81,450,142,2021-07-01
Mumbai,Bandra West,1BHK,73003.13,170.34,450,85,2021-08-01
Mumbai,Bandra West,1BHK,73694.74,171.95,450,31,2021-09-01
Mumbai,Bandra West,1BHK,74274.64,173.31,450,121,2021-10-01
Mumbai,Bandra West,1BHK,74912.62,174.8,450,31,2021-11-01
Mumbai,Bandra West,1BHK,75667.09,176.56,450,82,2021-12-01
Mumbai,Bandra West,1BHK,76437.85,178.35,450,61,2022-01-01
Mumbai,Bandra West,1BHK,77136.83,179.99,450,148,2022-02-01
Mumbai,Bandra West,1BHK,78108.38,182.25,450,46,2022-03-01
Mumbai,Bandra West,1BHK,79000.57,184.33,450,67,2022-04-01
Mumbai,Bandra West,1BHK,80057.21,186.8,450,99,2022-05-01
Mumbai,Bandra West,1BHK,80454.38,187.73,450,115,2022-06-01
Mumbai,Bandra West,1BHK,80979.33,188.95,450,126,2022-07-01
Mumbai,Bandra West,1BHK,81740.32,190.73,450,102,2022-08-01
Mumbai,Bandra West,1BHK,82246.7,191.91,450,122,2022-09-01
Mumbai,Bandra West,1BHK,82860.9,193.34,450,32,2022-10-01
Mumbai,Bandra West,1BHK,84044.7,196.1,450,48,2022-11-01
Mumbai,Bandra West,1BHK,85035.37,198.42,450,119,2022-12-01
Mumbai,Bandra West,1BHK,85419.27,199.31,450,125,2023-01-01
Mumbai,Bandra West,1BHK,86219.85,201.18,450,100,2023-02-01
Mumbai,Bandra West,1BHK,87148.93,203.35,450,68,2023-03-01
Mumbai,Bandra West,1BHK,87708.65,204.65,450,111,2023-04-01
Mumbai,Bandra West,1BHK,88639.47,206.83,450,86,2023-05-01
Mumbai,Bandra West,1BHK,89698.36,209.3,450,118,2023-06-01
Mumbai,Bandra West,1BHK,90575.93,211.34,450,71,2023-07-01
Mumbai,Bandra West,1BHK,91013.98,212.37,450,128,2023-08-01
Mumbai,Bandra West,1BHK,91677.45,213.91,450,141,2023-09-01
Mumbai,Bandra West,1BHK,92374.14,215.54,450,145,2023-10-01
Mumbai,Bandra West,1BHK,92775.43,216.48,450,77,2023-11-01
Mumbai,Bandra West,1BHK,93677.26,218.58,450,41,2023-12-01
Mumbai,Bandra West,1BHK,94817.14,221.24,450,148,2024-01-01
Mumbai,Bandra West,1BHK,95729.65,223.37,450,38,2024-02-01
Mumbai,Bandra West,1BHK,96884.26,226.06,450,109,2024-03-01
Mumbai,Bandra West,1BHK,97462.87,227.41,450,32,2024-04-01
Mumbai,Bandra West,1BHK,98272.8,229.3,450,62,2024-05-01
Mumbai,Bandra West,1BHK,99487.7,232.14,450,53,2024-06-01
Mumbai,Bandra West,1BHK,100594.58,234.72,450,128,2024-07-01
Mumbai,Bandra West,1BHK,101849.47,237.65,450,141,2024-08-01
Mumbai,Bandra West,1BHK,102872.64,240.04,450,122,2024-09-01
Mumbai,Bandra West,1BHK,103595.18,241.72,450,47,2024-10-01
Mumbai,Bandra West,1BHK,104599.14,244.06,450,83,2024-11-01
Mumbai,Bandra West,1BHK,105176.12,245.41,450,64,2024-12-01
Mumbai,Bandra West,1BHK,105764.34,246.78,450,62,2025-01-01
Mumbai,Bandra West,1BHK,106942.17,249.53,450,97,2025-02-01
Mumbai,Bandra West,1BHK,107681.47,251.26,450,49,2025-03-01
Mumbai,Bandra West,1BHK,108303.37,252.71,450,149,2025-04-01
Mumbai,Bandra West,1BHK,109609.17,255.75,450,46,2025-05-01
Mumbai,Bandra West,1BHK,110749.65,258.42,450,62,2025-06-01
Mumbai,Bandra West,1BHK,111975.58,261.28,450,115,2025-07-01
Mumbai,Bandra West,1BHK,114030.33,266.07,450,148,2025-08-01
Mumbai,Bandra West,1BHK,115260.2,268.94,450,131,2025-09-01
Mumbai,Bandra West,1BHK,115798.67,270.2,450,138,2025-10-01
Mumbai,Bandra West,1BHK,117176.47,273.41,450,56,2025-11-01
Mumbai,Bandra West,1BHK,118240.14,275.89,450,127,2025-12-01
Mumbai,Bandra West,1BHK,119785.26,279.5,450,140,2026-01-01
Mumbai,Bandra West,1BHK,120400.49,280.93,450,93,2026-02-01
Mumbai,Bandra West,1BHK,121369.39,283.2,450,77,2026-03-01
Mumbai,Bandra West,1BHK,122665.31,286.22,450,48,2026-04-01
Mumbai,Bandra West,1BHK,124334.32,290.11,450,46,2026-05-01
Mumbai,Bandra West,1BHK,125622.05,293.12,450,73,2026-06-01
Mumbai,Bandra West,1BHK,126689.37,295.61,450,134,2026-07-01
Mumbai,Bandra West,1BHK,128122.06,298.95,450,66,2026-08-01
Mumbai,Bandra West,1BHK,129248.8,301.58,450,82,2026-09-01
Mumbai,Bandra West,1BHK,130720.64,305.01,450,124,2026-10-01
Mumbai,Bandra West,1BHK,131586.83,307.04,450,116,2026-11-01
Mumbai,Bandra West,1BHK,132195.04,308.46,450,62,2026-12-01
Mumbai,Bandra West,1BHK,133039.58,310.43,450,54,2027-01-01
Mumbai,Bandra West,1BHK,134054.37,312.79,450,135,2027-02-01
Mumbai,Bandra West,1BHK,135352.85,315.82,450,133,2027-03-01
Mumbai,Bandra West,1BHK,136750.05,319.08,450,75,2027-04-01
Mumbai,Bandra West,1BHK,138098.34,322.23,450,115,2027-05-01
Mumbai,Bandra West,1BHK,139029.1,324.4,450,52,2027-06-01
Mumbai,Bandra West,1BHK,140327.81,327.43,450,31,2027-07-01
Mumbai,Bandra West,1BHK,141132.98,329.31,450,119,2027-08-01
Mumbai,Bandra West,1BHK,142796.09,333.19,450,72,2027-09-01
Mumbai,Bandra West,1BHK,144561.8,337.31,450,147,2027-10-01
Mumbai,Bandra West,1BHK,145289.48,339.01,450,148,2027-11-01
Mumbai,Bandra West,1BHK,146212.53,341.16,450,55,2027-12-01
Mumbai,Bandra West,1BHK,147686.35,344.6,450,42,2028-01-01
Mumbai,Bandra West,1BHK,149154.1,348.03,450,89,2028-02-01
Mumbai,Bandra West,1BHK,150751.81,351.75,450,74,2028-03-01
Mumbai,Bandra West,1BHK,153876.12,359.04,450,49,2028-04-01
Mumbai,Bandra West,1BHK,155901.03,363.77,450,45,2028-05-01
Mumbai,Bandra West,1BHK,157792.3,368.18,450,43,2028-06-01
Mumbai,Bandra West,1BHK,159089.49,371.21,450,121,2028-07-01
Mumbai,Bandra West,1BHK,160910.04,375.46,450,127,2028-08-01
Mumbai,Bandra West,1BHK,162464.71,379.08,450,115,2028-09-01
Mumbai,Bandra West,1BHK,163536.8,381.59,450,80,2028-10-01
Mumbai,Bandra West,1BHK,166171.48,387.73,450,51,2028-11-01
Mumbai,Bandra West,1BHK,166763.86,389.12,450,87,2028-12-01
Mumbai,Bandra West,1BHK,168086.03,392.2,450,71,2029-01-01
Mumbai,Bandra West,1BHK,169927.18,396.5,450,99,2029-02-01
Mumbai,Bandra West,1BHK,171665.52,400.55,450,130,2029-03-01
Mumbai,Bandra West,1BHK,172270.77,401.97,450,126,2029-04-01
Mumbai,Bandra West,1BHK,173570.17,405.0,450,137,2029-05-01
Mumbai,Bandra West,1BHK,175565.73,409.65,450,34,2029-06-01
Mumbai,Bandra West,1BHK,177812.6,414.9,450,125,2029-07-01
Mumbai,Bandra West,1BHK,179361.87,418.51,450,145,2029-08-01
Mumbai,Bandra West,1BHK,181901.27,424.44,450,69,2029-09-01
Mumbai,Bandra West,1BHK,183165.3,427.39,450,81,2029-10-01
Mumbai,Bandra West,1BHK,184125.62,429.63,450,87,2029-11-01
Mumbai,Bandra West,1BHK,184713.87,431.0,450,84,2029-12-01
Mumbai,Bandra West,1BHK,186001.07,434.0,450,91,2030-01-01
Mumbai,Bandra West,1BHK,187383.4,437.23,450,52,2030-02-01
Mumbai,Bandra West,1BHK,190102.43,443.57,450,30,2030-03-01
Mumbai,Bandra West,1BHK,191458.7,446.74,450,87,2030-04-01
Mumbai,Bandra West,1BHK,193147.42,450.68,450,125,2030-05-01
Mumbai,Bandra West,1BHK,195399.86,455.93,450,147,2030-06-01
Mumbai,Bandra West,1BHK,197745.21,461.41,450,146,2030-07-01
Mumbai,Bandra West,1BHK,200309.15,467.39,450,30,2030-08-01
Mumbai,Bandra West,1BHK,203420.58,474.65,450,148,2030-09-01
Mumbai,Bandra West,1BHK,205915.34,480.47,450,96,2030-10-01
Mumbai,Bandra West,1BHK,207351.49,483.82,450,130,2030-11-01
Mumbai,Bandra West,1BHK,208456.03,486.4,450,115,2030-12-01
Mumbai,Bandra West,1BHK,210644.43,491.5,450,105,2031-01-01
Mumbai,Bandra West,1BHK,213064.85,497.15,450,45,2031-02-01
Mumbai,Bandra West,1BHK,215005.52,501.68,450,68,2031-03-01
Mumbai,Bandra West,1BHK,216374.87,504.87,450,129,2031-04-01
Mumbai,Bandra West,1BHK,218194.35,509.12,450,52,2031-05-01
Mumbai,Bandra West,1BHK,219377.69,511.88,450,39,2031-06-01
Mumbai,Bandra West,1BHK,221389.85,516.58,450,149,2031-07-01
Mumbai,Bandra West,1BHK,223921.32,522.48,450,98,2031-08-01
Mumbai,Bandra West,1BHK,226627.32,528.8,450,109,2031-09-01
Mumbai,Bandra West,1BHK,229754.79,536.09,450,148,2031-10-01
Mumbai,Bandra West,1BHK,232669.0,542.89,450,41,2031-11-01
Mumbai,Bandra West,1BHK,235172.72,548.74,450,79,2031-12-01
Mumbai,Bandra West,1BHK,236598.68,552.06,450,90,2032-01-01
Mumbai,Bandra West,1BHK,238912.5,557.46,450,80,2032-02-01
Mumbai,Bandra West,1BHK,241422.4,563.32,450,94,2032-03-01
Mumbai,Bandra West,1BHK,244458.38,570.4,450,62,2032-04-01
Mumbai,Bandra West,1BHK,245859.57,573.67,450,58,2032-05-01
Mumbai,Bandra West,1BHK,248549.43,579.95,450,42,2032-06-01
Mumbai,Bandra West,1BHK,250421.39,584.32,450,144,2032-07-01
Mumbai,Bandra West,1BHK,251764.78,587.45,450,143,2032-08-01
Mumbai,Bandra West,1BHK,253705.23,591.98,450,37,2032-09-01
Mumbai,Bandra West,1BHK,256188.87,597.77,450,122,2032-10-01
Mumbai,Bandra West,1BHK,258084.3,602.2,450,97,2032-11-01
Mumbai,Bandra West,1BHK,261107.88,609.25,450,87,2032-12-01
Mumbai,Bandra West,1BHK,264247.1,616.58,450,58,2033-01-01
Mumbai,Bandra West,1BHK,267820.86,624.92,450,149,2033-02-01
Mumbai,Bandra West,1BHK,270928.99,632.17,450,65,2033-03-01
Mumbai,Bandra West,1BHK,273924.26,639.16,450,39,2033-04-01
Mumbai,Bandra West,1BHK,277814.42,648.23,450,128,2033-05-01
Mumbai,Bandra West,1BHK,278798.79,650.53,450,78,2033-06-01
Mumbai,Bandra West,1BHK,280839.85,655.29,450,142,2033-07-01
Mumbai,Bandra West,1BHK,283736.73,662.05,450,132,2033-08-01
Mumbai,Bandra West,1BHK,287226.04,670.19,450,125,2033-09-01
Mumbai,Bandra West,1BHK,290056.25,676.8,450,66,2033-10-01
Mumbai,Bandra West,1BHK,293380.33,684.55,450,52,2033-11-01
Mumbai,Bandra West,1BHK,295091.67,688.55,450,118,2033-12-01
Mumbai,Bandra West,1BHK,297241.73,693.56,450,142,2034-01-01
Mumbai,Bandra West,1BHK,298769.74,697.13,450,91,2034-02-01
Mumbai,Bandra West,1BHK,299306.6,698.38,450,42,2034-03-01
Mumbai,Bandra West,1BHK,301981.52,704.62,450,88,2034-04-01
Mumbai,Bandra West,1BHK,305104.86,711.91,450,124,2034-05-01
Mumbai,Bandra West,1BHK,307787.67,718.17,450,81,2034-06-01
Mumbai,Bandra West,1BHK,312374.82,728.87,450,146,2034-07-01
Mumbai,Bandra West,1BHK,316236.51,737.89,450,98,2034-08-01
Mumbai,Bandra West,1BHK,318180.92,742.42,450,114,2034-09-01
Mumbai,Bandra West,1BHK,319938.59,746.52,450,129,2034-10-01
Mumbai,Bandra West,1BHK,324612.14,757.43,450,140,2034-11-01
